student_id,yil,rol,tier,gercek,tahmin,residual,kare_hata,agirlik,agirlikli_katki,katki_pct,v42_tahmin,sub2_tahmin,proje_kalite,teknik_mulakat,cgpa,kaldigi_ders,mentor_metni
STU_000842,2025,Software Developer,Tier 3,20.77,55.85,-35.08,1230.8,1.845,2270.5,0.274,54.81,57.12,72.01,41.08,2.71,1,"Mevcut becerilerine rağmen, yazılım geliştirme alanında ciddi bir gelişime ihtiyaç duyuyor. Proje kalitesi konusunda daha fazla deneyim kazanması gerektiği açık. Bu aşamada, temel programlama ve veri yapıları konularında güçlü bir temele yönelmesi faydalı olacaktır."
STU_006151,2025,AI Engineer,Tier 2,94.85,60.61,34.24,1172.2,1.845,2162.2,0.261,58.66,63.0,9.38,42.88,3.37,1,"Gelişen teknik yeteneklerin ve yüksek problem çözme becerilerin ile dikkat çekiyorsun. Ancak, portföy ve iletişim konularında daha fazla geliştirme ihtiyacın var. Açık kaynak projelerine olan katkın ise etkileyici."
STU_002034,2024,AI Engineer,Tier 2,32.43,70.03,-37.6,1413.7,1.512,2137.2,0.258,69.01,71.28,26.66,85.67,3.16,0,"Makine öğrenimi ve veri işleme konusundaki ilgin, aldığın eğitim ile birleştiğinde büyük bir potansiyele dönüşüyor. Ancak, proje kalitenin geliştirilmesi, daha etkili bir projeye dönüşmen için kritik. Ayrıca, iletişim ve liderlik alanındaki zayıflıkların üzerinde çalışman kariyerinde önemli bir avantaj sağlayabilir."
STU_008336,2026,AI Engineer,Tier 1,43.38,75.79,-32.41,1050.1,2.035,2137.1,0.258,74.65,77.18,56.78,57.47,2.3,2,"Öğrencim, makine öğrenimi konusundaki yüksek başarısını ve Github üzerindeki aktif katkılarını takdirle gözlemledim. Ancak, proje kalitesi ve iletişim becerileri üzerinde gelişime ihtiyaç olduğu açık. Kendi projelerinde daha fazla deneyim kazanarak yeteneklerini pekiştirmesi, kariyerinde önemli bir adım olacaktır."
STU_002929,2026,Cloud Engineer,Tier 3,44.85,75.61,-30.76,946.0,2.035,1925.1,0.233,74.99,76.35,40.72,90.45,3.93,2,"Kodlama ve problem çözme becerileri oldukça etkileyici, ayrıca teknik mülakatlarda yüksek bir başarı göstermiş. Ancak, proje kalitesi ve ekip içindeki etkileşimi arttırmak için daha fazla deneyim elde etmesi faydalı olacaktır."
STU_007989,2026,Software Developer,Tier 3,83.61,53.16,30.45,927.4,2.035,1887.3,0.228,53.68,52.52,17.35,55.57,3.53,3,"Yazılım geliştirme alanındaki tutkun ve geçmiş deneyimlerin, projelerinde belirgin bir şekilde hissediliyor. Ancak, uygulama kalitenin artırılması gereken bir alan olduğunu gözlemliyorum. GitHub'daki projelerin için daha fazla katkı sağlamak, becerilerini pekiştirebilir."
STU_005737,2025,Data Analyst,Tier 4,25.43,57.04,-31.61,999.4,1.845,1843.5,0.223,56.54,57.65,35.69,62.66,2.68,2,"Kariyerine yeni adım atan öğrencim, özellikle portföyündeki çalışmalarla kendini farklılaştırıyor. Ancak teknik beceri gelişimine odaklanması gerektiği, mevcut yazılım geliştirme yeteneklerini daha da güçlendirmek için önemli bir adım olacaktır."
STU_008372,2026,Data Scientist,Tier 3,30.02,60.02,-30.0,899.8,2.035,1831.2,0.221,60.45,59.49,34.06,33.93,3.84,0,"Veri bilimi alanındaki hedeflerinizle birlikte, yaşınıza göre etkileyici bir staj deneyimi yaşamışsınız. Ancak, teknik mülakat puanlarınızın daha da yükseltilmesi ve proje kalitesinin artırılması, kariyerinizde önemli bir sıçrama sağlayabilir."
STU_004229,2026,AI Engineer,Tier 4,45.94,75.52,-29.58,874.8,2.035,1780.3,0.215,76.08,74.82,73.75,76.86,2.86,1,"Yaratıcı çözümler bulma konusunda özverili çabalara sahip bu öğrenci, proje kalitesi ve teknik bilgi birikimini artırarak hedeflediği AI mühendisliği rolü için önemli adımlar atabilir."
STU_009503,2025,MLOps Engineer,Tier 3,52.54,83.46,-30.92,956.3,1.845,1764.1,0.213,84.59,82.09,75.59,24.31,3.03,1,"Proje kaliteniz ve problem çözme yetenekleriniz, alanınıza güçlü bir şekilde katkı sağlama potansiyeline sahip. MLOps alanında istediğiniz hedefe ulaşmak için daha fazla proje deneyimi edinmelisiniz. GitHub üzerinde yer alan projeleriniz, geliştirme sürecinizi görmek açısından oldukça değerli."
STU_000807,2025,Backend Developer,Tier 1,34.03,64.88,-30.85,951.9,1.845,1756.0,0.212,63.72,66.31,25.15,70.28,3.52,1,"Teknik bilgi birikiminiz ve problem çözme yeteneğiniz oldukça etkileyici. Ancak, proje kaliteniz ve staj deneyiminizin eksikliği, kariyer hedeflerinize ulaşmanızda engel oluşturabilir. GitHub projelerinizin sayısını artırarak ve daha fazla pratik yaparak gelişiminizi hızlandırabilirsiniz."
STU_008027,2026,MLOps Engineer,Tier 2,91.25,62.05,29.2,852.6,2.035,1735.1,0.21,61.69,62.49,32.03,16.78,3.16,1,"MLOps alanındaki güçlü veri analizi becerilerin ve kodlama yeteneğin dikkat çekici. Bununla birlikte, teknik mülakat için hazır olman gereken ikna edici iletişim becerilerin üzerinde çalışman önemli. Kendi gelişim hedeflerine odaklanmaya devam et."
STU_009267,2025,Data Scientist,Tier 4,85.19,54.62,30.57,934.3,1.845,1723.5,0.208,54.12,55.24,53.99,27.03,2.52,0,"Veri bilimi alanında hedefleri olan bu öğrenci, sunum becerisi ile dikkat çekiyor ve güçlü liderlik özellikleri sergiliyor. Ancak kodlama ve teknik becerilerdeki eksiklikleri, kariyerine yön vermekte zorluk yaşayabileceğini gösteriyor."
STU_006057,2025,Data Scientist,Tier 3,30.05,60.6,-30.55,933.1,1.845,1721.3,0.208,60.39,60.85,56.6,64.48,3.76,0,"Kendi projeleri üzerinde çalışma girişimi, bu öğrenci için önemli bir adım olmuş; ancak teknik becerilerinin geliştirilmesi gerekiyor. İletişim konusunda güçlü bir yetenek olması, takım çalışmasına olan katkısını artırabilir. Freelance projelerinin sayısını artırarak pratik kazanmasını tavsiye ederim."
STU_005420,2026,Software Developer,Tier 3,93.11,64.47,28.64,820.4,2.035,1669.7,0.202,62.32,67.09,78.37,47.29,3.11,4,"Yetersiz bir portföy ve proje kalitesi, öğrencinin potansiyelini tam olarak ortaya koymasını engelliyor. Ancak, yazılım geliştirme disiplininde sahip olduğu bilgi birikimi ve deneyimi ile birlikte kendisini daha fazla geliştirme fırsatı bulursa, etkileyici bir kariyer inşa edebilir."
STU_006313,2025,AI Engineer,Tier 3,46.65,76.5,-29.85,891.2,1.845,1644.0,0.199,76.59,76.39,62.58,69.22,3.48,0,"Makine öğrenimi alanındaki bilgisi ve veri yapıları konusundaki başarılı performansı, yapay zeka mühendisliği hedefi için sağlam bir zemin oluşturuyor. Ancak, portföyündeki proje kalitesinin artırılması ve daha fazla pratik deneyim kazanması, kariyer hedeflerine ulaşma yolunda faydalı olacaktır. Ayrıca, sunum becerileri de dikkat çeken bir özellik."
STU_003143,2026,Cloud Engineer,Tier 2,88.6,60.21,28.39,806.0,2.035,1640.3,0.198,60.34,60.06,38.66,10.6,2.65,0,"Kodlama becerileriniz olağanüstü ve bulut mühendisliği için güçlü bir temel oluşturmuşsunuz. Ancak, proje kalitesi ve portföyünüz üzerinde daha fazla odaklanmak size fayda sağlayabilir. Geliştirici topluluklarına katılarak iletişim becerilerinizi güçlendirmek de önemli bir adım olacaktır."
STU_002439,2025,Backend Developer,Tier 2,15.23,43.85,-28.62,818.9,1.845,1510.6,0.183,41.24,47.04,22.79,61.32,2.91,2,"Teknik becerilerin ve projelerin üzerinde çalışman gerektiği aşikar. Geri bildirim aldığın projelerde ilerleyişini görmek önemli ama daha fazla deneyim ve öğrenim elde etmen gerekiyor. Takım çalışması ve liderlik potansiyelin, seni destekleyen başka bir boyut."
STU_004435,2025,DevOps Engineer,Tier 2,100.0,71.44,28.56,815.4,1.845,1504.2,0.182,71.03,71.96,36.05,57.84,3.75,1,"DevOps mühendisi olarak geleceği oldukça parlak olan bu öğrenci, kapsamlı bir staj deneyimi ile desteklenmiş güçlü bir teknik bilgiye sahip. Ancak, iletişim ve liderlik becerilerinde daha fazla geliştirme ihtiyacı olduğu açık; bu konular kariyerinde ilerlemek için hayati öneme sahip olabilir."
STU_001459,2024,Frontend Developer,Tier 1,100.0,68.64,31.36,983.6,1.512,1487.0,0.18,68.92,68.3,44.11,48.76,3.64,3,"Bu öğrenci, yazılım geliştirme alanında olağanüstü bir başarı göstermektedir; özellikle frontend geliştiriciliği konusundaki yetenekleri ve teknik becerileri etkileyici. Ancak, proje kalitesi üzerine yaptığı çalışmaların daha görünür ve zengin olması kariyer hedeflerine ulaşmasında önemli bir katkı sağlayabilir."
STU_005167,2025,Cloud Engineer,Tier 4,97.71,69.37,28.34,803.2,1.845,1481.7,0.179,69.33,69.41,28.71,63.21,3.08,3,"Bu öğrencinin problem çözme kabiliyeti ve SQL bilgisi göz kamaştırıcı; ancak proje kalitesinde biraz daha geliştirilmesi gereken yönler var. İki staj deneyimi, takım çalışmasına katkı sağlamış ve bu da onun gelecekteki Cloud Engineer olarak başarısının temel taşlarından biri olabilir."
STU_009576,2025,Backend Developer,Tier 1,69.25,41.02,28.23,797.1,1.845,1470.3,0.178,37.21,45.68,31.0,29.09,2.16,3,"Gözlemlerime göre, proje çalışmalarında yaratıcı bir yaklaşım sergiliyor ancak teknik bilgi derinliği geliştirmeye ihtiyacı var. İletişim yetenekleri ve takım çalışması konularında belirgin bir potansiyele sahip; bunları daha fazla projede ve pratikte geliştirmek faydalı olabilir."
STU_006033,2026,AI Engineer,Tier 2,68.1,94.87,-26.77,716.4,2.035,1457.9,0.176,92.56,97.68,67.46,73.61,2.5,4,"Mükemmel bir yazılım bilgisine sahip olan bu öğrenci, makine öğrenimi ve bulut altyapısı konusundaki yetenekleri ile etkileyici bir profil oluşturuyor. Ancak, liderlik becerilerini geliştirmeye ve staj imkanlarını artırmaya yönelmesi faydalı olabilir."
STU_007572,2025,AI Engineer,Tier 3,71.39,43.39,28.0,784.0,1.845,1446.1,0.175,43.65,43.07,33.74,51.37,3.08,0,"Hedeflediğin AI mühendisliği rolü için gerekli olan temel beceriler konusunda gelişim alanların olduğunu görüyorum. Özellikle, iletişim ve problem çözme becerilerin üzerinde çalışmayı gerektiriyor. Ancak, liderlik potansiyelin ve hackathon deneyimin, ilerlemek için değerli bir temel oluşturuyor."
STU_009360,2025,Backend Developer,Tier 3,25.38,53.33,-27.95,781.3,1.845,1441.3,0.174,54.97,51.33,32.84,44.09,3.37,1,"Matematik temelli düşünme becerisi ile backend geliştirme hedefi olan öğrencim, yazılım alanındaki temel kodlama becerilerini geliştirme aşamasında. Ancak, proje kalitesini artırmak ve iletişim becerilerini güçlendirmek adına daha fazla çaba göstermesi gerektiğini düşünüyorum."
STU_007517,2025,Backend Developer,Tier 3,44.54,72.41,-27.87,776.9,1.845,1433.2,0.173,72.22,72.65,51.71,48.0,2.68,2,"Yüksek kodlama ve problem çözme becerileri ile dikkat çeken bu öğrencinin, backend alanındaki yetenekleri oldukça iyi. Ancak, staj deneyiminin sınırlı olması ve teknik görüşme noktalarında geliştirilmesi gereken alanlar var."
STU_009313,2024,Cybersecurity Analyst,Tier 1,42.32,73.04,-30.72,943.6,1.512,1426.4,0.172,72.37,73.85,28.38,60.8,3.69,2,"Elektrik Elektronik Mühendisliği alanındaki başarılı performansınız ve yüksek yazılım becerileriniz dikkat çekici. Ancak, gerçek dünya projelerine katılım eksikliği sizi sınırlayabilir. Güçlü teknik temelinizi, daha fazla uygulamalı deneyimle destekleyerek gelişimini artırmalısınız."
STU_005834,2026,Cloud Engineer,Tier 3,39.76,66.21,-26.45,699.5,2.035,1423.6,0.172,66.2,66.22,71.4,42.79,3.11,1,"DevOps ve bulut mühendisliği konusundaki ilgin, iş hayatında fark yaratacak bir yolculuğa adım attığını gösteriyor. İletişim becerilerin ise ekip içindeki uyumunu artırıyor; ancak teknik yetkinliklerini geliştirmek için daha fazla pratik yapmanı öneriyorum."
STU_005783,2026,Cybersecurity Analyst,Tier 3,52.2,78.63,-26.43,698.6,2.035,1421.7,0.172,76.38,81.38,78.58,40.25,3.81,1,"Üniversite not ortalaması oldukça yüksek olan bu öğrenci, siber güvenlik alanında yeteneklerini gösterdi. Takım çalışması becerisi etkileyici, ancak teknik derinlik ve iletişim yeteneklerinde gelişim göstermesi faydalı olabilir."
STU_000943,2024,Data Analyst,Tier 2,42.79,72.88,-30.09,905.4,1.512,1368.7,0.165,73.25,72.42,30.4,71.23,3.21,0,"Kendine özgü bir yaklaşım sergileyen bu öğrencinin programlama ve problem çözme becerileri özellikle dikkat çekici. Ancak, proje kalitesi üzerinde daha fazla odaklanması ve takım içindeki işbirliğini artırması kariyer hedeflerine ulaşmasında önemli bir faktör olabilir."
STU_008467,2026,Data Scientist,Tier 2,73.48,47.55,25.93,672.3,2.035,1368.2,0.165,49.65,44.99,24.54,40.99,3.16,5,"Öğrencinin veri bilimi konusundaki tutkulu yaklaşımı, makine öğrenimi becerilerinde kendini göstermekte. Ancak teknik mülakat notları ve iletişim becerileri üzerinde gelişim göstermesi, kariyer yolculuğu için kritik önem taşıyor."
STU_002886,2026,AI Engineer,Tier 3,91.36,66.03,25.33,641.5,2.035,1305.5,0.158,66.12,65.92,51.42,18.61,3.85,0,Gelişen makine öğrenimi becerilerinle dikkat çekiyorsun. Proje kaliteni daha da artırmak için daha fazla gerçek dünya projelerine yönelmeni öneririm. İletişim yeteneklerin güçlü ama liderlik potansiyelini de geliştirdikçe daha büyük projelerde yer alabileceğine inanıyorum.
STU_001995,2026,AI Engineer,Tier 1,76.91,51.87,25.04,627.0,2.035,1276.0,0.154,50.38,53.69,43.73,38.59,3.38,3,"AI Engineer hedefinde, sunduğun çeşitli projelerle kendini gösteriyorsun. Ancak, teknik yetkinliklerinin yanı sıra iletişim becerilerini de geliştirmek gerekecek. Katıldığın hackathon ve elde ettiğin başarılar, seni bu yolda motive eden önemli unsurlar, fakat daha fazla çalışma ve pratikle hedeflerine ulaşabilirsin."
STU_001129,2025,Data Scientist,Tier 2,45.31,71.39,-26.08,680.3,1.845,1255.0,0.152,71.9,70.77,41.04,60.17,3.89,2,"Gerçek müşteri projelerinde edinilen deneyimler, öğrencinin özgeçmişini güçlendiriyor. Kodlama ve veri yapıları konusundaki yetkinlikleri umut verici olsa da iletişim ve liderlik alanında daha fazla gelişme göstermelidir. Portföyünde yer alan projelerin çeşitliliği, veri bilimcisi hedefleri için iyi bir başlangıç noktası sağlamakta."
STU_009279,2025,AI Engineer,Tier 4,62.37,88.45,-26.08,679.9,1.845,1254.3,0.152,89.55,87.09,74.34,40.21,2.96,3,"Yapay zeka mühendisliği hedefinizdeki bilgi düzeyiniz ve güçlü ön uç geliştirme becerilerinizle dikkat çekiyorsunuz. Sürekli proje deneyimleriniz, sizin öğrenmeye olan isteğinizi ve proaktifliğinizi gösteriyor. Teknik mülakatlardaki gelişim fırsatlarını değerlendirmeniz kariyer yolculuğunuzu olumlu yönde etkileyebilir."
STU_001973,2024,Data Scientist,Tier 2,40.73,69.26,-28.53,814.0,1.512,1230.6,0.149,70.29,68.0,23.55,94.21,3.23,1,"Veri bilimi alanındaki hedefleriniz doğrultusunda iyi bir temel oluşturmuşsunuz, ancak proje kalitenizin düşük olması, uygulama deneyiminizin artırılması gerektiğini gösteriyor. Ayrıca, iletişim becerilerinize daha fazla odaklanmanız, takım içinde daha etkili olmanızı sağlayacaktır."
STU_000884,2026,AI Engineer,Tier 2,87.87,63.42,24.45,597.7,2.035,1216.3,0.147,61.65,65.58,55.87,34.87,3.61,3,"AI Mühendisi olma yolunda ilerleyen öğrencim, makine öğrenmesi ve veri yapıları konularında son derece yetkin. Ancak, portföy geliştirme konusunda daha fazla çalışması ve iletişim becerilerini güçlendirmesi gerektiğini düşünüyorum."
STU_008788,2026,Software Developer,Tier 1,41.11,65.55,-24.44,597.3,2.035,1215.6,0.147,68.38,62.09,53.65,47.64,3.58,0,"Yazılım geliştirme yetenekleriniz, özellikle DevOps ve makine öğrenimi konularında etkileyici bir düzeye ulaşmış. Ancak iletişim becerilerinizin geliştirilmesi gerekiyor; güçlü bir sunum yapabilmek, projelerinizi daha iyi bir şekilde ifade etmenize yardımcı olacaktır. İnovatif projelerinizle daha fazla etkili olabilir, portföyünüzü güçlendirebilirsiniz."
STU_006589,2024,DevOps Engineer,Tier 3,84.72,56.45,28.27,799.3,1.512,1208.4,0.146,58.59,53.83,22.31,31.62,3.28,0,"Bu öğrenci, DevOps mühendisliği hedefi doğrultusunda önemli miktarda staj tecrübesine sahip. Ancak proje kalitesi ve teknik becerilerinde daha fazla derinleşmeye ihtiyacı var. İletişim becerileri ortalamanın üzerinde olsa da takım çalışmasındaki düşük puanları, grup projelerinde daha aktif bir rol alarak geliştirilebilir."
STU_006978,2026,AI Engineer,Tier 3,63.38,87.74,-24.36,593.6,2.035,1207.9,0.146,86.73,88.98,83.49,26.3,3.45,1,"Yüksek bir liderlik potansiyeline sahip olan bu öğrenci, projelerindeki kalite ile dikkat çekiyor. Teknik becerilerini, özellikle yazılım geliştirme alanında daha fazla geliştirdiği takdirde, AI mühendisliği hedefinde başarılı olabilir."
STU_004259,2023,Data Scientist,Tier 3,37.58,72.5,-34.92,1219.3,0.989,1206.3,0.146,73.56,71.2,23.86,51.41,3.93,1,"Veri odaklı projelerdeki tutkulu yaklaşımı ve güçlü teknik becerileri, onun veri bilimindeki potansiyelini ortaya koyuyor. Ancak, proje kalitesi üzerinde daha fazla çalışması gerektiğini gözlemledim."
STU_009371,2026,Frontend Developer,Tier 3,58.72,83.07,-24.35,592.7,2.035,1206.2,0.146,82.83,83.36,89.43,68.65,2.91,2,"Öğrencinin proje çalışmaları mükemmel bir kaliteye sahip ve iletişim becerilerinde bazı geliştirmelere ihtiyaç duysa da, takım çalışması konusundaki yetkinliği dikkat çekici. Gelişim alanlarını göz önünde bulundurarak, DevOps ve frontend odaklı projelerle ilerlemesi, kariyer hedeflerine ulaşmasında büyük fayda sağlayabilir."
STU_005015,2026,Data Scientist,Tier 3,46.94,71.28,-24.34,592.6,2.035,1206.0,0.146,72.79,69.44,64.57,61.16,2.7,0,"Takım çalışması konusunda güçlü bir yeteneği olan bu öğrenci, veri bilimi alanında ilerlemek için gerekli olan vizyonu taşıyor. Ancak kodlama yetenekleri ve teknik mülakat performansı, geliştirilmesi gereken hassas noktaları işaret ediyor."
STU_007637,2024,AI Engineer,Tier 3,61.06,89.24,-28.18,794.1,1.512,1200.5,0.145,88.77,89.82,80.15,53.14,3.23,3,"Bilgisayar Mühendisliği öğrencisi olarak kodlama ve problem çözme becerileri etkileyici bir düzeye ulaşmış durumda. AI mühendisliği hedefi doğrultusunda, proje kalitesi ve sunum becerilerini geliştirerek kariyer yolunda sağlam adımlar atabilir. Hackathonlardaki başarıları, yaratıcı düşünme yeteneğini yansıtıyor."
STU_007612,2024,Data Scientist,Tier 2,51.59,79.52,-27.93,779.8,1.512,1178.9,0.142,80.08,78.83,87.22,35.67,3.19,3,"Veri bilimi alanındaki hedefin için hoş bir temel oluşturmuşsun. Özellikle SQL ve makine öğrenimi konularında bir miktar daha derinlemesine çalışma yapman sana avantaj sağlayabilir. Ayrıca, teknik mülakat puanın, ilerlemeni destekleyecek yönde güçlendirilmeli."
STU_000952,2025,AI Engineer,Tier 1,80.68,55.46,25.22,636.3,1.845,1173.7,0.142,55.5,55.4,11.32,43.47,3.44,1,"Yazılım mühendisliği alanında ilerleme kaydetmekte olan bu öğrencinin, iletişim ve ekip çalışması becerileri dikkat çekici. Ancak proje kalitesi ve teknik yetkinlik alanındaki gelişmeleri desteklemek için daha fazla pratik yapması gerektiği açıkça görülmekte."
STU_003493,2024,Product Analyst,Tier 4,49.84,77.58,-27.74,769.3,1.512,1163.0,0.141,78.09,76.95,32.38,70.63,2.66,0,"Software Engineering alanında olağanüstü bir teknik bilgiye sahip olan bu öğrenci, kodlama ve veri yapıları konularında mükemmel bir performans sergiledi. Ancak daha fazla proje deneyimi edinmesi, kariyerine olan katkısını artıracaktır."
STU_008105,2025,Software Developer,Tier 2,38.07,63.06,-24.99,624.5,1.845,1151.9,0.139,64.26,61.59,53.31,73.41,3.03,1,"Yazılım geliştirme alanındaki hedefleri doğrultusunda azimle çalışan öğrencinin, akademik başarıları ve staj deneyimleri var. Ancak, teknik bilgi ve becerilerdeki eksiklikler kariyer yolculuğunda zorluklar yaratabilir. Bu alanlarda daha fazla emek harcaması, gelecekteki iş fırsatlarını artırabilir."
